sn.no,product_id,image,product_name,product_category,description,brand_name,base_price,selling_price,stock_left,restock_threshold,last_restocked_date,sales_volume
1,281b38f0-91f6-4343-8e97-91ffb8e09204,/img1.jpg,Canon EOS Rebel T7 DSLR Camera,electronics,"24.1MP CMOS sensor, Wi-Fi & NFC, 9-Point AF, Optical Viewfinder (~95% coverage). Compatible with Canon EF lenses. Can be used as webcam.",SONY,61890.03,100000,8,2,12/25/2024,12
2,0ddcc58e-efe9-4588-906b-83cde67aad66,/img2.png,Lakme 9 To 5 Primer+Matte Burgundy Passion Lipstick,beauty,"Matte lipstick with built-in primer for smooth, long-lasting (14 hrs) vibrant color. Lightweight and comfortable with 20 shades.",lakme,700,880,120,20,1/5/2025,348
3,a5350bd8-65e6-4710-9c7d-b6379459c542,/img3.jpg,Indian Kurkure Masala Munch - 82Gm - Pack Of 5,food,"Crunchy, spicy Indian snack pack of 5 x 82g. Perfect for gatherings or movie nights.",Century Spices & Snacks,350,375,790,70,11/4/2024,11450
4,e269edec-81f7-48af-b5c3-a0956603e417,/img4.jpg,Giannis Immortality 3 EP Shoes For Men,fashion,"Durable, high-traction shoes designed for fast, versatile basketball play. Suitable for outdoor courts.",nike,17000,22000,25,4,3/11/2025,32
5,3d64894c-ade1-482d-91fc-c27f87ec62ca,/img5.jpg,Mamaearth Onion Shampoo For Hair Fall Control,beauty,"Onion oil & plant keratin reduce hair fall, strengthen, and soften hair. Sulfate & paraben free, safe for treated hair.",mamaearth,860,940,130,35,8/21/2024,2085
6,267d3110-cf3d-4ac0-8228-94a267419cd2,/img6.jpg,Spn'S Exercise Spin Bike For Home Use,sports,Multifunctional display spin bike suitable for home and commercial use.,SPN,25000,28000,3,0,11/25/2024,5
7,b04d4bb4-4200-443f-b257-7469cb6547d7,/img7.jpg,Puma Womens Carina Slim SL Sneaker White,fashion,Sleek faux leather sneakers with soft cushioning for all-day comfort.,PUMA,10000,13000,25,7,3/21/2025,570
8,de602189-ccf0-40dd-8929-fd926f7fc0e0,/img8.jpg,"Original Xiaomi Pad 7 Mi Tablet 11.2""",electronics,"Snapdragon 7 Gen3, 11.2” 3.2K 144Hz display, 8/12GB RAM, 128/256GB storage, 13MP camera, 8850mAh battery.",Xiaomi,90000.04,98000,6,1,8/25/2024,11
9,13c7aa3f-c72f-45ae-80e6-4e1df21f4e5a,/img9.jpg,ROCKBROS 750ml Bike Water Bottle,sports,"750ml anti-slip cycling water bottle, lightweight and portable for outdoor activities.",ROCKBROS,2200,2400,50,10,8/14/2024,407
10,8a1138aa-3188-4f7f-84d4-b1cea3ad6273,/img10.jpg,Titan 1584Sl04 Men's Quartz Analog Watch,fashion,"Quartz analog watch with date, brown dial & strap, water resistant, 2-year warranty.",Titan,5000,6000,35,14,4/16/2025,260
11,c9da9ab2-b60e-4526-8ca3-0f7cdc9809d0,/img11.jpg,OSOAA Triple Strength Fish Oil Omega 3,health,"High-strength omega 3 fish oil capsules (1650mg) supporting heart, brain, joints & vision health.",OSOAA,1600,1750,200,35,8/17/2024,4674
